rank,min_signals,adx_threshold,rsi_oversold,rsi_overbought,sl_atr_mult,tp_atr_mult,cooldown_bars,mtf_bonus,train_trades,train_win_rate,train_pf,train_net_profit,train_max_dd,valid_trades,valid_win_rate,valid_pf,valid_net_profit,valid_max_dd,score
1,3,20.0,33.0,67.0,2.5,5.0,4,3,685,41.5,1.093,179.88,0.013,674,41.8,1.093,163.24,0.013,7.275877
2,3,22.0,35.0,65.0,2.5,4.0,4,2,741,46.7,1.127,245.78,0.013,719,43.9,1.087,152.03,0.015,6.920452
3,3,18.0,33.0,67.0,2.5,4.0,4,2,805,43.7,1.069,150.22,0.013,776,43.0,1.071,137.03,0.012,6.164145
4,3,18.0,28.0,72.0,2.5,5.0,6,2,634,39.0,1.126,236.05,0.014,602,38.4,1.089,150.29,0.008,6.076273
5,3,20.0,33.0,67.0,2.5,4.0,4,3,742,45.4,1.111,221.24,0.010,734,43.3,1.072,133.98,0.016,5.919090
6,3,20.0,33.0,67.0,3.0,5.0,4,2,667,42.9,1.065,131.19,0.016,654,43.7,1.066,120.67,0.015,5.464808
7,3,22.0,33.0,67.0,2.5,4.0,8,2,636,43.6,1.034,62.45,0.010,598,43.5,1.074,119.87,0.013,5.450866
8,3,22.0,33.0,67.0,2.5,4.0,2,2,759,45.2,1.090,181.58,0.011,710,43.4,1.065,114.57,0.015,5.077612
9,3,22.0,38.0,62.0,2.5,4.0,4,2,815,46.7,1.105,207.54,0.013,798,43.4,1.057,105.55,0.019,4.562858
10,3,22.0,33.0,67.0,2.0,6.0,4,2,636,37.4,1.087,146.83,0.010,620,35.6,1.071,108.84,0.014,4.013051
11,3,26.0,33.0,67.0,2.5,4.0,4,2,591,44.2,0.950,-86.44,0.015,552,44.7,1.060,85.60,0.017,3.929945
12,3,22.0,33.0,67.0,2.5,4.0,4,2,700,45.3,1.061,119.85,0.013,673,43.1,1.051,87.40,0.020,3.783538
13,3,22.0,33.0,67.0,2.5,4.0,4,3,700,45.3,1.061,119.85,0.013,673,43.1,1.051,87.40,0.020,3.783538
14,3,22.0,33.0,67.0,2.5,4.0,4,4,700,45.3,1.061,119.85,0.013,673,43.1,1.051,87.40,0.020,3.783538
15,2,25.0,28.0,72.0,2.0,6.0,4,3,744,33.9,0.993,-13.11,0.018,672,35.6,1.064,98.49,0.015,3.616786
16,3,22.0,33.0,67.0,2.5,4.0,6,2,673,45.8,1.093,175.89,0.012,619,43.5,1.044,72.65,0.017,3.114204
17,3,22.0,33.0,67.0,2.0,3.5,4,2,782,44.1,1.122,231.15,0.009,745,42.0,1.044,74.24,0.019,3.023325
18,4,22.0,33.0,67.0,2.5,4.0,4,2,525,43.8,1.109,171.22,0.015,506,40.9,1.042,63.37,0.012,2.557384
19,4,26.0,30.0,70.0,2.5,4.0,4,3,446,41.7,1.030,43.52,0.018,410,40.7,1.047,59.37,0.008,2.491447
20,3,22.0,33.0,67.0,2.0,5.0,4,2,677,38.7,1.073,128.64,0.010,655,37.1,1.033,51.27,0.016,1.866722
21,4,22.0,30.0,70.0,2.5,5.0,4,3,463,39.5,1.172,257.83,0.013,448,35.7,1.035,51.12,0.009,1.748180
22,3,25.0,30.0,70.0,3.0,6.0,6,2,454,38.3,1.025,38.95,0.014,428,40.0,1.015,22.16,0.019,0.862168
23,3,22.0,28.0,72.0,2.5,4.0,4,2,631,43.6,1.100,188.30,0.011,595,39.8,1.002,3.66,0.018,0.134684
24,4,25.0,30.0,70.0,3.0,5.0,6,4,402,40.0,1.050,74.66,0.018,378,37.0,0.922,-110.10,0.016,0.000000
25,3,22.0,33.0,67.0,1.5,4.0,4,2,796,37.3,1.132,221.42,0.008,774,32.4,0.890,-185.17,0.030,0.000000
26,3,24.0,30.0,70.0,1.5,5.0,4,3,618,29.8,1.070,101.60,0.016,604,27.0,0.881,-171.97,0.023,0.000000
27,3,22.0,30.0,70.0,2.0,4.0,4,2,683,40.4,1.153,271.63,0.009,644,36.0,0.982,-30.16,0.020,0.000000
