rank,min_signals,adx_threshold,rsi_oversold,rsi_overbought,sl_atr_mult,tp_atr_mult,cooldown_bars,mtf_bonus,require_trend_align,bb_filter,stoch_confirm,macd_hist_filter,di_direction_filter,atr_expansion_filter,atr_expansion_threshold,train_trades,train_win_rate,train_pf,train_net_profit,train_max_dd,valid_trades,valid_win_rate,valid_pf,valid_net_profit,valid_max_dd,score
1,4,22,30,70,3.5,1.5,4,3,True,False,False,False,True,True,1.1,270,71.9,0.999,-0.69,0.011,251,77.3,1.299,151.60,0.005,6.010671
2,4,22,30,70,3.5,1.5,4,3,True,False,False,True,True,True,1.1,270,71.9,0.999,-0.69,0.011,251,77.3,1.299,151.60,0.005,6.010671
3,4,22,30,70,4.0,1.5,4,3,True,False,False,False,True,True,1.1,268,74.3,0.997,-1.87,0.010,251,78.9,1.225,122.97,0.006,5.942479
4,4,22,30,70,3.5,1.5,4,3,True,False,False,False,False,True,1.1,276,71.4,1.022,15.31,0.011,259,76.8,1.272,144.05,0.005,5.932852
5,3,22,33,67,3.5,1.5,4,2,True,False,False,False,True,True,1.1,270,71.9,0.999,-0.36,0.011,249,77.1,1.280,142.25,0.005,5.837046
6,3,22,33,67,3.5,1.5,4,2,True,False,False,True,True,True,1.1,270,71.9,0.999,-0.36,0.011,249,77.1,1.280,142.25,0.005,5.837046
7,3,22,33,67,4.0,1.5,4,2,True,False,False,False,False,True,1.1,274,74.1,1.038,27.46,0.008,257,78.2,1.182,103.76,0.007,5.829731
8,3,22,33,67,4.0,1.5,4,2,True,False,False,False,True,True,1.1,268,74.3,0.998,-1.54,0.010,249,78.7,1.209,114.14,0.006,5.771654
9,3,22,33,67,3.5,1.5,4,2,True,False,False,False,False,True,1.1,276,71.4,1.022,15.63,0.011,257,76.7,1.254,134.69,0.006,5.757648
10,3,22,33,67,4.5,1.5,4,2,True,False,False,False,True,True,1.1,267,75.3,0.929,-55.01,0.013,249,79.9,1.167,96.08,0.007,5.166390
11,3,22,33,67,4.5,1.5,4,2,True,False,False,False,False,True,1.1,273,75.1,0.969,-23.63,0.009,257,79.4,1.137,82.88,0.009,5.099924
12,3,22,33,67,3.0,1.5,4,2,True,False,False,False,False,True,1.1,284,68.3,0.985,-10.63,0.014,259,74.1,1.267,136.20,0.006,4.895023
13,4,22,30,70,3.0,1.5,4,3,True,False,False,False,False,True,1.1,284,68.3,0.985,-10.95,0.014,261,73.9,1.270,138.49,0.005,4.877057
14,3,22,33,67,3.0,1.5,4,2,True,False,False,False,True,True,1.1,278,68.7,0.964,-25.30,0.016,251,74.1,1.248,124.27,0.006,4.612543
15,4,22,30,70,3.0,1.5,4,3,True,False,False,False,True,True,1.1,278,68.7,0.964,-25.63,0.016,253,73.9,1.250,126.57,0.006,4.596119
16,3,25,33,67,3.5,1.5,4,2,True,False,False,False,True,True,1.1,227,71.4,1.003,1.56,0.012,206,75.2,1.149,68.13,0.005,4.339472
17,3,25,33,67,3.5,1.5,4,2,True,False,False,False,False,True,1.1,232,70.7,0.982,-11.19,0.013,211,74.9,1.144,67.71,0.005,4.090454
18,3,22,33,67,3.5,1.5,4,2,True,False,False,False,False,True,1.05,341,72.4,1.051,41.89,0.009,321,73.8,1.071,51.54,0.008,4.003704
19,4,22,30,70,3.5,1.5,4,3,True,False,False,False,True,True,1.05,334,72.5,1.013,10.71,0.008,310,74.2,1.091,63.10,0.007,3.931217
20,3,22,33,67,3.5,1.5,4,2,True,False,False,False,True,True,1.05,332,72.3,1.008,6.20,0.009,309,74.1,1.082,56.45,0.008,3.764979
21,4,22,30,70,3.5,1.5,4,3,True,False,True,False,True,True,1.1,166,70.5,0.954,-20.33,0.006,135,74.8,1.092,28.16,0.005,3.305958
22,3,22,33,67,3.5,1.5,4,2,True,False,True,False,True,True,1.1,166,70.5,0.954,-20.33,0.006,134,74.6,1.079,24.36,0.005,3.180093
23,3,22,33,67,3.5,2.0,4,2,True,False,False,False,True,True,1.1,245,63.7,0.914,-69.67,0.015,222,69.4,1.200,117.23,0.005,3.170874
24,3,22,33,67,3.5,2.0,4,2,True,False,False,False,False,True,1.1,250,62.8,0.880,-102.38,0.016,230,69.1,1.190,115.69,0.005,2.982719
25,3,22,33,67,3.0,1.5,4,2,True,False,False,False,False,True,1.05,346,70.5,1.066,52.15,0.009,326,70.9,1.047,33.26,0.009,2.794621
26,3,22,33,67,3.0,2.0,4,2,True,False,False,False,False,True,1.1,257,59.5,0.851,-124.76,0.020,233,66.1,1.191,112.24,0.006,2.288987
27,4,22,30,70,3.5,1.5,4,3,True,True,True,True,True,True,1.1,122,65.6,0.801,-75.67,0.011,98,71.4,0.930,-17.68,0.007,1.058113
