rank,min_signals,adx_threshold,rsi_oversold,rsi_overbought,sl_atr_mult,tp_atr_mult,cooldown_bars,mtf_bonus,require_trend_align,bb_filter,stoch_confirm,macd_hist_filter,train_trades,train_win_rate,train_pf,train_net_profit,train_max_dd,valid_trades,valid_win_rate,valid_pf,valid_net_profit,valid_max_dd,score
1,3,22,33,67,4.0,1.0,4,2,True,False,False,False,618,81.2,0.950,-53.43,0.011,630,81.6,1.014,13.67,0.010,4.662764
2,4,25,30,70,5.0,2.0,6,3,True,False,False,False,348,71.6,0.916,-96.56,0.016,318,74.2,1.059,54.74,0.008,4.174193
3,3,22,33,67,3.0,1.0,4,2,True,False,False,False,643,77.3,0.983,-17.42,0.010,649,77.3,1.010,9.40,0.008,3.674581
4,3,28,33,67,3.0,1.5,4,2,True,False,False,False,373,68.1,0.958,-35.70,0.013,350,70.3,1.071,50.37,0.005,3.258773
5,4,22,30,70,3.0,1.5,4,3,True,False,False,False,539,70.3,1.075,82.44,0.008,534,69.9,1.061,64.52,0.006,3.166924
6,3,22,33,67,3.5,1.5,4,2,True,False,False,False,520,73.8,1.127,135.46,0.006,515,72.4,1.035,38.40,0.007,3.151444
7,4,22,30,70,3.5,1.5,6,3,True,True,True,False,279,70.3,0.927,-48.71,0.009,259,73.0,1.032,17.13,0.007,3.134874
8,3,22,35,65,3.0,1.5,4,2,True,False,False,False,537,70.2,1.072,78.47,0.008,531,69.9,1.057,60.15,0.005,3.095630
9,3,22,33,67,3.0,1.5,4,2,True,False,False,False,539,70.3,1.076,83.46,0.008,530,69.8,1.054,56.76,0.006,3.004979
10,3,22,33,67,3.0,1.5,4,5,True,False,False,False,539,70.3,1.076,83.46,0.008,530,69.8,1.054,56.76,0.006,3.004979
11,3,22,33,67,3.0,1.5,4,2,True,False,False,True,539,70.3,1.076,83.46,0.008,530,69.8,1.054,56.76,0.006,3.004979
12,3,22,33,67,4.0,1.5,4,2,True,False,False,False,508,76.4,1.151,159.58,0.007,512,74.8,1.010,11.58,0.008,2.989120
13,5,28,28,72,3.0,2.0,6,4,True,False,False,False,310,62.6,0.957,-36.56,0.009,285,64.9,1.152,102.60,0.004,2.739083
14,5,25,28,72,3.0,1.5,4,4,True,False,False,False,438,69.6,1.024,22.76,0.007,428,69.9,1.041,35.44,0.010,2.679643
15,3,22,33,67,3.0,1.5,4,2,True,False,True,False,353,69.7,1.059,43.21,0.006,333,70.0,1.031,20.81,0.007,2.453607
16,3,22,33,67,5.0,2.0,4,2,True,False,False,False,411,71.3,0.940,-79.03,0.012,406,72.2,0.998,-2.65,0.012,2.349676
17,3,18,33,67,3.0,1.5,4,2,True,False,False,False,644,69.9,1.045,58.96,0.009,667,69.6,1.016,21.40,0.013,2.199029
18,3,22,33,67,4.0,2.0,4,2,True,False,False,False,433,68.1,0.983,-21.31,0.008,440,68.4,1.012,14.66,0.010,1.895287
19,3,20,33,67,3.5,1.5,4,5,True,False,False,False,576,74.7,1.163,187.10,0.006,580,71.6,0.979,-26.70,0.012,1.860713
20,4,25,30,70,3.5,1.5,6,3,True,False,False,True,408,73.8,1.057,51.00,0.008,386,72.0,0.958,-35.98,0.013,1.770378
21,3,22,33,67,3.0,1.5,8,2,True,False,False,False,469,71.9,1.085,80.48,0.005,458,69.4,0.994,-5.62,0.012,1.712256
22,3,22,33,67,3.0,1.5,2,2,True,False,False,False,587,72.2,1.185,205.61,0.006,582,69.4,0.994,-6.98,0.013,1.637448
23,5,25,28,72,3.0,1.5,6,4,True,False,False,False,415,71.1,1.059,50.90,0.006,391,68.8,0.958,-34.74,0.011,1.298412
24,3,22,33,67,3.0,1.5,4,2,True,True,True,False,285,68.8,1.021,13.28,0.007,270,68.1,0.960,-22.56,0.008,1.245122
25,3,22,33,67,3.0,1.5,4,2,True,True,True,True,285,68.8,1.021,13.28,0.007,270,68.1,0.960,-22.56,0.008,1.245122
26,5,28,28,72,3.0,1.5,6,4,True,True,False,False,280,68.6,0.881,-81.18,0.015,261,68.2,0.951,-27.72,0.006,1.224492
27,3,22,33,67,3.0,1.5,4,2,True,True,False,False,411,70.8,1.067,58.47,0.008,420,67.4,0.879,-113.48,0.015,0.518163
