run_id,stage,params_json,trades,win_rate,non_loss_rate,profit_factor,net_profit,max_drawdown,sharpe_ratio,annual_return,composite_score,elapsed_sec
s1_df43885a,1,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 3.0}",1099,67.66,81.21,4.25,1238878.0,1.65,6.0,41.3,4.1799,51.4
s1_24e84457,1,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 3.5}",858,67.36,81.51,4.44,948539.0,1.36,5.3,31.62,4.3796,50.2
s1_0781fd9e,1,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.0}",486,67.74,80.08,4.35,590778.0,1.09,4.18,19.69,4.3026,49.5
s1_640d9fc1,1,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 4.5}",247,73.13,85.42,7.55,440878.0,1.12,3.84,14.7,7.4654,50.6
s1_881f7354,1,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 5.0}",25,71.47,80.77,8.69,40571.0,0.4,1.07,1.35,8.6552,37.2
s1_9ac296e1,1,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 5.5}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2
s1_8a9786df,1,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 6.0}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2
s1_4edebe57,1,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 6.5}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9
s1_1355b66f,1,"{""timeframes"": [""M15"", ""H1"", ""H4""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4""], ""consensus_threshold"": 7.0}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6
s1_ca53b030,1,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 3.0}",1697,60.53,69.96,2.8,1242049.0,1.8,5.38,41.4,2.7496,42.2
s1_fe861bfa,1,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 3.5}",1567,62.05,71.7,3.09,1199543.0,1.61,5.53,39.98,3.0403,52.5
s1_fc6478ed,1,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 4.0}",1440,63.35,73.41,3.49,1174388.0,1.54,5.88,39.15,3.4363,59.1
