run_id,stage,params_json,trades,win_rate,non_loss_rate,profit_factor,net_profit,max_drawdown,sharpe_ratio,annual_return,composite_score,elapsed_sec
s3_78e6199e,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 2.5, ""trailing_atr_mult"": 2.5, ""stag_exit_minutes"": 90.0, ""partial_1r_ratio"": 0.15, ""early_be_r"": 0.3, ""signal_rev_ratio"": 0.5}",127,69.8,80.27,15.9,176946.0,0.28,3.0,5.9,8.443,57.7
s3_bae70230,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 1.5, ""trailing_atr_mult"": 2.5, ""stag_exit_minutes"": 90.0, ""partial_1r_ratio"": 0.1, ""early_be_r"": 0.7, ""signal_rev_ratio"": 0.0}",128,69.3,71.16,6.92,166967.0,0.67,2.58,5.57,5.8655,55.6
s3_ff73550f,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 2.5, ""trailing_atr_mult"": 1.0, ""stag_exit_minutes"": 120.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.25}",86,67.95,78.94,16.48,180517.0,0.48,2.84,6.02,5.7058,57.1
s3_f70fb267,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 1.0, ""stag_exit_minutes"": 120.0, ""partial_1r_ratio"": 0.15, ""early_be_r"": 0.7, ""signal_rev_ratio"": 0.0}",129,75.62,77.96,7.35,161316.0,0.87,2.65,5.38,6.266,55.4
s3_cb6e7a9c,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 2.0, ""trailing_atr_mult"": 1.0, ""stag_exit_minutes"": 120.0, ""partial_1r_ratio"": 0.1, ""early_be_r"": 1.0, ""signal_rev_ratio"": 0.75}",116,78.62,80.58,10.24,165309.0,0.87,2.61,5.51,7.6661,55.8
s3_ade65ddd,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 1.0, ""stag_exit_minutes"": 180.0, ""partial_1r_ratio"": 0.15, ""early_be_r"": 1.0, ""signal_rev_ratio"": 0.25}",128,75.44,77.14,9.68,171900.0,0.63,2.82,5.73,8.2082,54.5
s3_8b2c1e53,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 2.5, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 120.0, ""partial_1r_ratio"": 0.05, ""early_be_r"": 0.3, ""signal_rev_ratio"": 0.5}",120,75.49,89.24,24.6,188036.0,0.13,3.08,6.27,7.9896,53.6
s3_8b08b83a,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 1.5, ""trailing_atr_mult"": 2.5, ""stag_exit_minutes"": 180.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 1.0, ""signal_rev_ratio"": 0.75}",82,66.53,69.39,13.74,189584.0,0.63,2.8,6.32,5.4322,53.3
s3_618f4c6a,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 1.5, ""trailing_atr_mult"": 2.5, ""stag_exit_minutes"": 180.0, ""partial_1r_ratio"": 0.15, ""early_be_r"": 1.0, ""signal_rev_ratio"": 0.25}",117,76.06,77.91,13.09,180416.0,0.63,2.83,6.01,7.7509,52.5
s3_d0a046b0,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 2.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.05, ""early_be_r"": 1.0, ""signal_rev_ratio"": 0.5}",130,68.55,70.7,6.13,160732.0,0.61,2.47,5.36,5.2803,52.7
