combo_id,timeframes,tf_count,regime_detection_tf,htf_alignment_tfs,trades,win_rate,non_loss_rate,profit_factor,net_profit,max_drawdown,sharpe_ratio,annual_return,elapsed_sec
M1+M5+M15,"M1,M5,M15",3,M15,M15,2803,56.37,80.84,2.05,1950921.0,3.76,5.68,195.09,251.3
M1+M5+M30,"M1,M5,M30",3,M30,M30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.4
M1+M5+H1,"M1,M5,H1",3,H1,H1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.7
M1+M5+H4,"M1,M5,H4",3,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.7
M1+M5+H8,"M1,M5,H8",3,H8,H8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.4
M1+M5+D1,"M1,M5,D1",3,D1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.2
M1+M15+M30,"M1,M15,M30",3,M30,M30,871,52.35,82.2,2.11,674077.0,4.06,4.21,67.41,275.5
M1+M15+H1,"M1,M15,H1",3,H1,H1,2215,58.33,82.57,2.34,1796287.0,4.41,6.16,179.63,269.0
M1+M15+H4,"M1,M15,H4",3,H4,H4,1995,62.66,85.26,3.24,2461884.0,2.53,6.69,246.19,248.6
M1+M15+H8,"M1,M15,H8",3,H8,H8,1641,58.62,81.6,2.35,1547855.0,3.5,5.52,154.79,272.4
M1+M15+D1,"M1,M15,D1",3,D1,D1,1617,54.36,82.62,2.36,1395123.0,3.63,5.07,139.51,308.8
M1+M30+H1,"M1,M30,H1",3,H1,H1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.3
M1+M30+H4,"M1,M30,H4",3,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.6
M1+M30+H8,"M1,M30,H8",3,H8,H8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.5
M1+M30+D1,"M1,M30,D1",3,D1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.7
M1+H1+H4,"M1,H1,H4",3,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0
M1+H1+H8,"M1,H1,H8",3,H1,"H8,H1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.9
M1+H1+D1,"M1,H1,D1",3,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.6
M1+H4+H8,"M1,H4,H8",3,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0
M1+H4+D1,"M1,H4,D1",3,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.6
M1+H8+D1,"M1,H8,D1",3,H8,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0
M5+M15+M30,"M5,M15,M30",3,M30,M30,1711,56.34,86.15,3.16,2385350.0,2.47,7.0,238.54,373.3
M5+M15+H1,"M5,M15,H1",3,H1,H1,3204,60.71,85.24,3.08,3418516.0,2.16,8.29,341.85,355.2
M5+M15+H4,"M5,M15,H4",3,H4,H4,2511,62.29,85.7,3.32,3000835.0,2.56,7.57,300.08,383.2
M5+M15+H8,"M5,M15,H8",3,H8,H8,2174,60.72,84.13,2.64,2185952.0,2.75,6.69,218.6,378.4
M5+M15+D1,"M5,M15,D1",3,D1,D1,2133,56.82,83.36,2.54,2132207.0,3.95,6.15,213.22,285.0
M5+M30+H1,"M5,M30,H1",3,H1,H1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.2
M5+M30+H4,"M5,M30,H4",3,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.1
M5+M30+H8,"M5,M30,H8",3,H8,H8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.3
M5+M30+D1,"M5,M30,D1",3,D1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0
M5+H1+H4,"M5,H1,H4",3,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.3
M5+H1+H8,"M5,H1,H8",3,H1,"H8,H1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.5
M5+H1+D1,"M5,H1,D1",3,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.5
M5+H4+H8,"M5,H4,H8",3,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.5
M5+H4+D1,"M5,H4,D1",3,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.5
M5+H8+D1,"M5,H8,D1",3,H8,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.4
M15+M30+H1,"M15,M30,H1",3,H1,H1,142,64.08,78.87,3.14,222782.0,2.24,2.27,22.28,52.3
M15+M30+H4,"M15,M30,H4",3,H4,H4,35,68.57,82.86,15.33,265889.0,0.69,1.34,26.59,52.0
M15+M30+H8,"M15,M30,H8",3,H8,H8,55,81.82,89.09,10.35,146242.0,0.82,2.19,14.62,52.7
M15+M30+D1,"M15,M30,D1",3,D1,D1,13,76.92,84.62,5.76,31435.0,0.66,1.06,3.14,53.0
M15+H1+H4,"M15,H1,H4",3,H1,H4,1074,67.23,81.66,3.14,1557681.0,3.35,6.15,155.77,49.8
M15+H1+H8,"M15,H1,H8",3,H1,"H8,H1",940,66.91,80.96,3.14,1478557.0,3.34,5.56,147.86,52.4
M15+H1+D1,"M15,H1,D1",3,H1,D1,685,62.34,77.96,2.41,739053.0,3.55,3.95,73.91,50.8
M15+H4+H8,"M15,H4,H8",3,H4,H4,841,66.23,79.31,3.2,1385251.0,2.03,5.26,138.53,51.6
M15+H4+D1,"M15,H4,D1",3,H4,"H4,D1",700,65.57,77.43,2.87,982859.0,3.23,4.6,98.29,52.1
M15+H8+D1,"M15,H8,D1",3,H8,D1,675,64.59,78.07,2.88,964056.0,2.68,4.4,96.41,49.5
M30+H1+H4,"M30,H1,H4",3,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7
M30+H1+H8,"M30,H1,H8",3,H1,"H8,H1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
