<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.03	00:00:00	154.72	155.878	154.0	154.689	237957	0	20
2025.02.04	00:00:00	154.639	155.514	154.161	154.323	190115	0	20
2025.02.05	00:00:00	154.322	154.449	152.102	152.578	194836	0	20
2025.02.06	00:00:00	152.586	152.888	151.228	151.343	169497	0	20
2025.02.07	00:00:00	151.335	152.418	150.918	151.4	202678	0	20
2025.02.10	00:00:00	151.162	152.527	151.162	151.983	158311	0	20
2025.02.11	00:00:00	151.98	152.598	151.639	152.474	146613	0	20
2025.02.12	00:00:00	152.475	154.793	152.368	154.395	192165	0	20
2025.02.13	00:00:00	154.396	154.658	152.692	152.784	198468	0	20
2025.02.14	00:00:00	152.782	153.146	152.014	152.274	156863	0	20
2025.02.17	00:00:00	152.172	152.376	151.329	151.469	138210	0	20
2025.02.18	00:00:00	151.467	152.211	151.219	152.051	147732	0	20
2025.02.19	00:00:00	152.049	152.303	151.235	151.453	152506	0	20
2025.02.20	00:00:00	151.452	151.452	149.39	149.617	180105	0	20
2025.02.21	00:00:00	149.618	150.73	148.913	149.265	190398	0	20
2025.02.24	00:00:00	149.197	149.867	148.833	149.691	205701	0	20
2025.02.25	00:00:00	149.7	150.294	148.55	149.013	226900	0	20
2025.02.26	00:00:00	149.014	149.876	148.609	149.059	215508	0	20
2025.02.27	00:00:00	148.949	150.153	148.733	149.794	232880	0	20
2025.02.28	00:00:00	149.794	150.979	149.089	150.578	233729	0	20
2025.03.03	00:00:00	150.63	151.293	149.089	149.482	240258	0	20
2025.03.04	00:00:00	149.482	149.865	148.086	149.795	320232	0	20
2025.03.05	00:00:00	149.654	150.172	148.373	148.863	297055	0	20
2025.03.06	00:00:00	148.862	149.324	147.3	147.972	297758	0	20
2025.03.07	00:00:00	147.972	148.192	146.938	147.999	276917	0	20
2025.03.09	00:00:00	147.923	147.923	147.556	147.58	571	0	45
2025.03.10	00:00:00	147.562	147.837	146.624	147.138	263240	0	20
2025.03.11	00:00:00	147.138	148.11	146.53	147.701	282106	0	20
2025.03.12	00:00:00	147.701	149.184	147.7	148.2	195846	0	20
2025.03.13	00:00:00	148.201	148.363	147.401	147.703	208387	0	20
2025.03.14	00:00:00	147.704	149.014	147.674	148.611	167461	0	20
2025.03.16	00:00:00	148.733	148.814	148.702	148.709	338	0	36
2025.03.17	00:00:00	148.714	149.276	148.157	149.121	166911	0	20
2025.03.18	00:00:00	149.124	149.928	149.089	149.219	144804	0	20
2025.03.19	00:00:00	149.221	150.14	148.594	148.787	144447	0	20
2025.03.20	00:00:00	148.788	148.955	148.169	148.772	145750	0	20
2025.03.21	00:00:00	148.772	149.652	148.574	149.268	138132	0	20
2025.03.23	00:00:00	149.338	149.39	149.32	149.353	147	0	45
2025.03.24	00:00:00	149.352	150.748	149.351	150.649	133260	0	20
2025.03.25	00:00:00	150.648	150.935	149.538	149.842	125413	0	20
2025.03.26	00:00:00	149.843	150.738	149.829	150.474	126222	0	20
2025.03.27	00:00:00	150.482	151.149	150.05	151.034	136401	0	20
2025.03.28	00:00:00	151.032	151.204	149.673	149.768	147464	0	20
2025.03.31	00:00:00	149.726	150.26	148.694	149.948	193212	0	20
2025.04.01	00:00:00	149.937	150.133	148.967	149.586	170752	0	20
2025.04.02	00:00:00	149.578	150.477	149.089	149.197	168482	0	20
2025.04.03	00:00:00	149.197	149.226	145.174	146.037	299721	0	20
2025.04.04	00:00:00	146.023	147.427	144.539	146.861	370154	0	20
2025.04.07	00:00:00	145.445	148.139	144.806	147.791	426518	0	20
2025.04.08	00:00:00	147.79	148.113	145.952	146.226	323384	0	20
2025.04.09	00:00:00	146.204	148.271	143.982	147.663	378384	0	20
2025.04.10	00:00:00	147.641	147.702	144.003	144.412	330444	0	20
2025.04.11	00:00:00	144.411	144.558	142.05	143.427	307681	0	20
2025.04.14	00:00:00	143.873	144.073	142.22	142.947	238093	0	20
2025.04.15	00:00:00	142.944	143.584	142.586	143.113	173373	0	20
2025.04.16	00:00:00	143.105	143.277	141.631	141.78	192787	0	20
2025.04.17	00:00:00	141.785	143.076	141.602	142.347	184532	0	20
2025.04.18	00:00:00	142.365	142.454	142.028	142.056	201906	0	20
2025.04.21	00:00:00	142.035	142.103	140.461	140.755	135885	0	20
2025.04.22	00:00:00	140.769	141.663	139.875	141.52	170238	0	20
2025.04.23	00:00:00	141.507	143.57	141.432	143.431	222282	0	20
2025.04.24	00:00:00	143.401	143.401	142.27	142.556	159445	0	20
2025.04.25	00:00:00	142.576	144.022	142.531	143.642	160176	0	20
2025.04.28	00:00:00	143.506	143.889	141.942	141.963	140163	0	20
2025.04.29	00:00:00	141.967	142.746	141.909	142.23	136080	0	20
2025.04.30	00:00:00	142.212	143.179	142.137	142.97	144603	0	20
2025.05.01	00:00:00	142.951	145.729	142.867	145.335	130597	0	20
2025.05.02	00:00:00	145.339	145.918	143.719	144.882	170956	0	20
2025.05.05	00:00:00	144.656	144.98	143.529	143.676	125851	0	20
2025.05.06	00:00:00	143.669	144.27	142.344	142.371	136590	0	20
2025.05.07	00:00:00	142.37	143.991	142.353	143.801	161028	0	20
2025.05.08	00:00:00	143.797	146.167	143.433	145.895	164980	0	20
2025.05.09	00:00:00	145.885	146.178	144.814	145.336	128833	0	20
2025.05.12	00:00:00	146.213	148.639	145.689	148.443	189166	0	20
