<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	147.747	147.838	147.728	147.828	339	0	73
2025.10.01	01:00:00	147.831	147.913	147.806	147.897	1313	0	22
2025.10.01	02:00:00	147.895	148.019	147.802	148.016	1929	0	20
2025.10.01	03:00:00	148.016	148.215	148.016	148.098	5053	0	20
2025.10.01	04:00:00	148.096	148.157	147.93	147.943	4751	0	20
2025.10.01	05:00:00	147.942	148.0	147.875	147.903	2916	0	20
2025.10.01	06:00:00	147.904	147.989	147.858	147.916	2073	0	20
2025.10.01	07:00:00	147.912	147.947	147.542	147.543	3215	0	20
2025.10.01	08:00:00	147.543	147.633	147.45	147.516	4585	0	20
2025.10.01	09:00:00	147.517	147.517	147.157	147.219	6319	0	20
2025.10.01	10:00:00	147.22	147.311	147.01	147.114	7048	0	20
2025.10.01	11:00:00	147.113	147.142	146.891	147.14	5784	0	20
2025.10.01	12:00:00	147.139	147.215	147.059	147.198	4777	0	20
2025.10.01	13:00:00	147.199	147.255	147.05	147.066	4935	0	20
2025.10.01	14:00:00	147.066	147.099	146.984	146.993	3914	0	20
2025.10.01	15:00:00	146.991	147.108	146.578	146.788	12755	0	20
2025.10.01	16:00:00	146.785	146.863	146.61	146.697	8910	0	20
2025.10.01	17:00:00	146.688	147.037	146.678	146.85	11537	0	20
2025.10.01	18:00:00	146.857	147.202	146.832	147.139	8291	0	20
2025.10.01	19:00:00	147.142	147.243	147.082	147.15	4571	0	20
2025.10.01	20:00:00	147.15	147.182	147.102	147.157	2501	0	20
2025.10.01	21:00:00	147.156	147.219	147.011	147.079	4260	0	20
2025.10.01	22:00:00	147.08	147.149	147.044	147.086	3153	0	20
2025.10.01	23:00:00	147.086	147.155	147.053	147.061	2400	0	20
2025.10.02	00:00:00	147.02	147.035	147.018	147.02	148	0	51
2025.10.02	01:00:00	147.023	147.056	146.988	146.998	1081	0	21
2025.10.02	02:00:00	146.997	147.103	146.988	147.099	1439	0	20
