<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	147.747	147.762	147.728	147.752	51	0	194
2025.10.01	00:15:00	147.751	147.773	147.749	147.761	63	0	178
2025.10.01	00:30:00	147.771	147.837	147.763	147.831	158	0	81
2025.10.01	00:45:00	147.831	147.838	147.828	147.828	67	0	73
2025.10.01	01:00:00	147.831	147.885	147.806	147.867	292	0	25
2025.10.01	01:15:00	147.866	147.895	147.861	147.895	419	0	27
2025.10.01	01:30:00	147.897	147.913	147.886	147.897	311	0	24
2025.10.01	01:45:00	147.903	147.912	147.884	147.897	291	0	22
2025.10.01	02:00:00	147.895	147.923	147.802	147.834	537	0	20
2025.10.01	02:15:00	147.834	147.892	147.816	147.891	389	0	20
2025.10.01	02:30:00	147.891	147.924	147.872	147.909	326	0	20
2025.10.01	02:45:00	147.909	148.019	147.899	148.016	677	0	20
2025.10.01	03:00:00	148.016	148.143	148.016	148.064	1486	0	20
2025.10.01	03:15:00	148.064	148.084	148.016	148.054	1144	0	20
2025.10.01	03:30:00	148.054	148.186	148.054	148.177	1167	0	20
2025.10.01	03:45:00	148.178	148.215	148.085	148.098	1256	0	20
2025.10.01	04:00:00	148.096	148.157	148.052	148.082	912	0	20
2025.10.01	04:15:00	148.081	148.09	147.992	148.023	1239	0	20
2025.10.01	04:30:00	148.023	148.034	147.947	147.952	1214	0	20
2025.10.01	04:45:00	147.952	147.991	147.93	147.943	1386	0	20
2025.10.01	05:00:00	147.942	147.965	147.894	147.945	871	0	20
2025.10.01	05:15:00	147.944	147.949	147.875	147.944	722	0	20
2025.10.01	05:30:00	147.944	148.0	147.939	147.992	754	0	20
2025.10.01	05:45:00	147.991	147.998	147.899	147.903	569	0	20
2025.10.01	06:00:00	147.904	147.917	147.858	147.891	598	0	20
2025.10.01	06:15:00	147.889	147.951	147.878	147.934	450	0	21
2025.10.01	06:30:00	147.934	147.989	147.934	147.95	523	0	20
2025.10.01	06:45:00	147.95	147.954	147.891	147.916	502	0	20
2025.10.01	07:00:00	147.912	147.947	147.906	147.944	631	0	20
2025.10.01	07:15:00	147.945	147.945	147.847	147.868	750	0	20
2025.10.01	07:30:00	147.868	147.868	147.74	147.741	885	0	20
