<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2006.01.01	00:00:00	117.89	118.07	113.41	117.22	198796	0	30
2006.02.01	00:00:00	117.28	119.42	115.66	115.77	182969	0	30
2006.03.01	00:00:00	115.76	119.21	115.45	117.79	227657	0	30
2006.04.01	00:00:00	117.74	118.92	113.65	113.83	198013	0	30
2006.05.01	00:00:00	113.67	114.21	108.97	112.58	233301	0	30
2006.06.01	00:00:00	112.58	116.72	111.32	114.43	212796	0	30
2006.07.01	00:00:00	114.33	117.89	113.44	114.64	202316	0	30
2006.08.01	00:00:00	114.62	117.51	113.97	117.36	220985	0	30
2006.09.01	00:00:00	117.37	118.31	115.57	118.17	213532	0	30
2006.10.01	00:00:00	118.09	119.87	116.61	116.87	171831	0	30
2006.11.01	00:00:00	116.87	118.58	115.37	115.74	163693	0	30
2006.12.01	00:00:00	115.73	119.23	114.41	119.06	153757	0	30
2007.01.01	00:00:00	118.98	122.17	117.97	120.85	167907	0	30
2007.02.01	00:00:00	120.85	122.05	117.47	118.5	144083	0	30
2007.03.01	00:00:00	118.54	118.84	115.13	117.82	226501	0	30
2007.04.01	00:00:00	117.5	119.87	117.46	119.41	145479	0	30
2007.05.01	00:00:00	119.41	121.98	119.06	121.71	153685	0	30
2007.06.01	00:00:00	121.7	124.13	120.76	123.16	148895	0	30
2007.07.01	00:00:00	123.05	123.66	117.97	118.4	200861	0	30
2007.08.01	00:00:00	118.43	119.8	111.59	115.75	396576	0	30
2007.09.01	00:00:00	115.74	116.46	112.58	114.78	245730	0	30
2007.10.01	00:00:00	114.71	117.93	113.23	115.31	225662	0	30
2007.11.01	00:00:00	115.3	115.91	107.21	111.2	300535	0	30
2007.12.01	00:00:00	110.96	114.7	109.55	111.71	159159	0	30
2008.01.01	00:00:00	111.69	111.91	104.97	106.39	324439	0	30
2008.02.01	00:00:00	106.39	108.59	103.67	103.71	230992	0	30
2008.03.01	00:00:00	103.28	104.17	95.77	99.9	356467	0	30
2008.04.01	00:00:00	99.89	104.88	99.59	103.93	380656	0	30
2008.05.01	00:00:00	103.92	105.87	102.58	105.5	324388	0	30
2008.06.01	00:00:00	105.28	108.58	103.87	106.08	324371	0	30
2008.07.01	00:00:00	106.07	108.37	103.76	107.83	294196	0	30
2008.08.01	00:00:00	107.88	110.66	107.28	108.79	246605	0	30
2008.09.01	00:00:00	108.33	109.18	103.49	105.99	507597	0	30
2008.10.01	00:00:00	105.99	106.53	90.92	98.46	798276	0	30
2008.11.01	00:00:00	98.23	100.54	93.55	95.52	619017	0	30
2008.12.01	00:00:00	95.54	95.55	87.13	90.86	280801	0	30
2009.01.01	00:00:00	91.17	94.61	87.12	89.9	330298	0	30
2009.02.01	00:00:00	89.68	98.7	88.58	97.565	535799	0	30
2009.03.01	00:00:00	97.647	99.667	93.533	98.881	846218	0	30
2009.04.01	00:00:00	98.887	101.43	95.614	98.544	798646	0	30
2009.05.01	00:00:00	98.558	99.717	93.85	95.3	984382	0	30
2009.06.01	00:00:00	95.28	98.87	94.44	96.303	1024593	0	30
2009.07.01	00:00:00	96.301	96.967	91.74	94.67	355835	0	30
2009.08.01	00:00:00	94.93	97.79	92.55	92.98	211325	0	30
2009.09.01	00:00:00	92.97	93.41	88.24	89.71	420477	0	30
2009.10.01	00:00:00	89.72	92.32	88.0	90.081	221079	0	30
2009.11.01	00:00:00	89.663	91.263	84.819	86.327	966511	0	10
2009.12.01	00:00:00	86.322	93.129	86.156	93.129	861103	0	10
2010.01.01	00:00:00	92.918	93.748	89.132	90.255	888938	0	10
2010.02.01	00:00:00	90.205	92.141	88.572	88.956	808553	0	10
2010.03.01	00:00:00	88.931	93.626	88.136	93.443	732567	0	9
2010.04.01	00:00:00	93.433	94.683	91.595	93.838	776161	0	9
2010.05.01	00:00:00	93.932	94.978	88.254	91.161	1108332	0	9
2010.06.01	00:00:00	91.151	92.877	88.279	88.4	996922	1629910000	6
2010.07.01	00:00:00	88.399	89.145	85.98	86.458	839902	85094601000	6
2010.08.01	00:00:00	86.41	86.871	83.619	84.169	698836	0	9
2010.09.01	00:00:00	84.17	85.922	82.869	83.489	664701	0	9
2010.10.01	00:00:00	83.491	83.972	80.376	80.389	721761	0	9
2010.11.01	00:00:00	80.357	84.398	80.295	83.659	1201006	0	9
2010.12.01	00:00:00	83.659	84.494	80.934	81.126	1302732	0	4
2011.01.01	00:00:00	81.106	83.674	81.071	82.055	1257677	0	4
2011.02.01	00:00:00	82.054	83.964	81.129	81.764	1096836	0	9
2011.03.01	00:00:00	81.761	83.287	76.404	83.171	1520390	0	9
2011.04.01	00:00:00	83.171	85.514	81.032	81.181	1123369	9620929000	6
2011.05.01	00:00:00	81.099	82.229	79.582	81.499	975107	0	6
2011.06.01	00:00:00	81.493	81.494	79.694	80.558	1112704	0	9
2011.07.01	00:00:00	80.558	81.467	76.722	76.768	903581	27686970000	6
2011.08.01	00:00:00	77.391	80.228	75.957	76.732	1381276	249960685043	6
2011.09.01	00:00:00	76.731	77.849	76.094	76.989	1211968	0	9
2011.10.01	00:00:00	77.095	79.523	75.57	78.172	1088147	0	9
2011.11.01	00:00:00	78.107	78.963	76.561	77.575	1028374	0	7
2011.12.01	00:00:00	77.576	78.211	76.856	76.885	771008	0	3
2012.01.01	00:00:00	77.09	78.277	76.151	76.293	836216	0	4
2012.02.01	00:00:00	76.292	81.575	76.018	81.276	1029588	0	4
2012.03.01	00:00:00	81.127	84.167	80.578	82.848	1174809	0	5
2012.04.01	00:00:00	82.954	83.292	79.731	79.821	1116896	0	5
2012.05.01	00:00:00	79.822	80.607	78.206	78.364	1161648	0	5
2012.06.01	00:00:00	78.365	80.615	77.657	79.785	1300045	0	5
2012.07.01	00:00:00	79.905	80.09	77.944	78.112	1019557	0	5
2012.08.01	00:00:00	78.114	79.65	77.917	78.377	947462	0	4
2012.09.01	00:00:00	78.326	79.209	77.135	77.942	890174	0	4
2012.10.01	00:00:00	77.96	80.371	77.78	79.81	796023	0	4
2012.11.01	00:00:00	79.809	82.831	79.07	82.467	1578682	0	4
2012.12.01	00:00:00	82.4	86.68	81.711	86.61	1444868	0	4
2013.01.01	00:00:00	86.658	91.797	86.535	91.733	2271470	0	5
2013.02.01	00:00:00	91.732	94.431	90.929	92.623	2180886	0	1
2013.03.01	00:00:00	92.622	96.707	92.438	94.15	907782	0	1
2013.04.01	00:00:00	94.252	99.944	92.568	97.381	1156481	0	1
2013.05.01	00:00:00	97.383	103.733	97.022	100.433	1205078	0	1
2013.06.01	00:00:00	100.544	100.721	93.788	99.121	1584572	0	1
