<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.06	00:00:00	109.472	109.836	109.161	109.682	201815	0	15
2021.06.13	00:00:00	109.589	110.817	109.576	110.202	279106	0	15
2021.06.20	00:00:00	110.188	111.108	109.708	110.775	209917	0	15
2021.06.27	00:00:00	110.756	111.65	110.41	111.011	256980	0	15
2021.07.04	00:00:00	110.974	111.183	109.527	110.093	280300	0	15
2021.07.11	00:00:00	110.122	110.691	109.707	110.062	201456	0	15
2021.07.18	00:00:00	109.98	110.586	109.058	110.535	252308	0	15
2021.07.25	00:00:00	110.414	110.576	109.354	109.667	231348	0	15
2021.08.01	00:00:00	109.644	110.35	108.715	110.209	212057	0	15
2021.08.08	00:00:00	110.296	110.794	109.537	109.586	168392	0	15
2021.08.15	00:00:00	109.69	110.221	109.106	109.763	418743	0	15
2021.08.22	00:00:00	109.655	110.26	109.405	109.833	246689	0	15
2021.08.29	00:00:00	109.843	110.412	109.578	109.69	167392	0	15
2021.09.05	00:00:00	109.679	110.439	109.614	109.902	129682	0	15
2021.09.12	00:00:00	109.818	110.155	109.106	109.96	138744	0	15
2021.09.19	00:00:00	109.93	110.786	109.112	110.72	187627	0	15
2021.09.26	00:00:00	110.638	112.071	110.528	111.048	208294	0	15
2021.10.03	00:00:00	110.88	112.249	110.814	112.217	214207	0	15
2021.10.10	00:00:00	112.15	114.457	112.111	114.243	194222	0	15
2021.10.17	00:00:00	114.218	114.692	113.406	113.482	204948	0	15
2021.10.24	00:00:00	113.506	114.304	113.248	113.985	218431	0	15
2021.10.31	00:00:00	114.044	114.436	113.292	113.372	208010	0	15
2021.11.07	00:00:00	113.339	114.294	112.718	113.892	190121	0	15
2021.11.14	00:00:00	113.9	114.962	113.58	114.018	215741	0	15
2021.11.21	00:00:00	113.919	115.513	113.044	113.318	250643	0	15
2021.11.28	00:00:00	113.69	113.95	112.525	112.776	335837	0	15
2021.12.05	00:00:00	112.827	113.949	112.825	113.363	216303	0	15
2021.12.12	00:00:00	113.261	114.256	113.133	113.698	214704	0	15
2021.12.19	00:00:00	113.57	114.506	113.319	114.345	164635	0	15
2021.12.26	00:00:00	114.394	115.199	114.302	115.12	112595	0	15
2022.01.02	00:00:00	115.033	116.338	114.94	115.539	191056	0	15
2022.01.09	00:00:00	115.58	115.843	113.475	114.167	197584	0	15
2022.01.16	00:00:00	114.113	115.05	113.595	113.679	210262	0	15
2022.01.23	00:00:00	113.627	115.677	113.463	115.21	258782	0	15
2022.01.30	00:00:00	115.266	115.584	114.145	115.179	225074	0	15
2022.02.06	00:00:00	115.191	116.331	114.906	115.47	244222	0	15
